Date,GOOG,APPL,AMZN
2015/5/1,537.900024,120.220688,422.869995
2015/5/4,540.780029,119.987633,423.040009
2015/5/5,530.799988,117.283951,421.190002
2015/5/6,524.219971,116.547424,419.100006
